Time (seconds), PosCmd (Theta) deg, PosFbk (Theta) deg, PosErr (Theta) deg, VelCmd (Theta) deg/msec, VelFbk (Theta) deg/msec, VelErr (Theta) deg/msec, AccCmd (Theta), AccErr (Theta), AccFbk (Theta), CurCmd (Theta), CurFbk (Theta), CurErr (Theta), AxisStatus (Theta), DriveStatus (Theta), PsoCounter0 (Theta), PsoStatus (Theta), WaveformActive (Theta), PsoWaveformActiveOnTime (Theta), PsoWaveformActivePulseCount (Theta), PsoWaveformActiveTotalTime (Theta)
0.043000000000000003, 3678048.00000436, 3678047.98, 0.02000436007976532, 18, 17.98, 0.02, 0, 0, 0, 0.2063680738210678, 0.259888619184494, -0.05352054536342621, 8585, 16851041, 2, 540, 1, 100, 200, 1000
0.044, 3678066.00000436, 3678065.96, 0.04000436007976532, 18, 17.98, 0.02, 0, 0, 0, 0.33320480585098267, 0.24456310272216797, 0.0886417031288147, 8585, 16850977, 2, 540, 1, 100, 200, 1000
0.045, 3678084.00000436, 3678083.98, 0.02000436007976532, 18, 18.02, -0.02, 0, -0.04, 0.04, 0.12131056934595108, 0.205144464969635, -0.08383389562368393, 8585, 16851105, 2, 540, 1, 100, 200, 1000
0.046, 3678102.00000436, 3678102.02, -0.01999563992023468, 18, 18.04, -0.04, 0, -0.02, 0.02, 0.0600607693195343, 0.16277918219566345, -0.10271841287612915, 8585, 16851137, 900, 540, 1, 100, 200, 1000
0.047, 3678120.00000436, 3678120.02, -0.01999563992023468, 18, 18, 0, 0, 0.04, -0.04, 0.13272078335285187, 0.16048935055732727, -0.027768567204475403, 8585, 16851009, 899, 540, 1, 100, 200, 1000
0.048, 3678138.00000436, 3678138.04, -0.03999563992023468, 18, 18.02, -0.02, 0, -0.02, 0.02, 0.15532495081424713, 0.13175585865974426, 0.02356909215450287, 8585, 16851041, 899, 540, 1, 100, 200, 1000
0.049, 3678156.00000436, 3678156.02, -0.01999563992023468, 18, 17.98, 0.02, 0, 0.04, -0.04, 0.24439354240894318, 0.1531333476305008, 0.09126019477844238, 8585, 16850977, 899, 540, 1, 100, 200, 1000
0.05, 3678174.00000436, 3678173.98, 0.02000436007976532, 18, 17.96, 0.04, 0, 0.02, -0.02, 0.26707926392555237, 0.21792393922805786, 0.04915532469749451, 8585, 16851105, 1, 540, 1, 100, 200, 1000
0.051000000000000004, 3678192.00000436, 3678191.96, 0.04000436007976532, 18, 17.98, 0.02, 0, -0.02, 0.02, 0.2454911768436432, 0.24672648310661316, -0.0012353062629699707, 8585, 16851073, 3, 540, 1, 100, 200, 1000
0.052000000000000005, 3678210.00000436, 3678209.98, 0.02000436007976532, 18, 18.02, -0.02, 0, -0.04, 0.04, 0.13933712244033813, 0.1849476397037506, -0.045610517263412476, 8585, 16851137, 1, 540, 1, 100, 200, 1000
0.053, 3678228.00000436, 3678228.02, -0.01999563992023468, 18, 18.04, -0.04, 0, -0.02, 0.02, 0.06666405498981476, 0.16637654602527618, -0.09971249103546143, 8585, 16851009, 899, 540, 1, 100, 200, 1000
0.054, 3678246.00000436, 3678246.04, -0.03999563992023468, 18, 18.02, -0.02, 0, 0.02, -0.02, 0.15014515817165375, 0.09749292582273483, 0.052652232348918915, 8585, 16851041, 898, 540, 1, 100, 200, 1000
0.055, 3678264.00000436, 3678264.06, -0.059995639920234684, 18, 18.02, -0.02, 0, 0, 0, 0.12955407798290253, 0.11252204328775406, 0.017032034695148468, 8585, 16850977, 898, 540, 1, 100, 200, 1000
