Time (seconds), PosCmd (Theta) deg, PosFbk (Theta) deg, PosErr (Theta) deg, VelCmd (Theta) deg/msec, VelFbk (Theta) deg/msec, VelErr (Theta) deg/msec, AccCmd (Theta), AccErr (Theta), AccFbk (Theta), CurCmd (Theta), CurFbk (Theta), CurErr (Theta), AxisStatus (Theta), DriveStatus (Theta), PsoCounter0 (Theta), PsoStatus (Theta), WaveformActive (Theta), PsoWaveformActiveOnTime (Theta), PsoWaveformActivePulseCount (Theta), PsoWaveformActiveTotalTime (Theta)
0.069, 4001472.0000043395, 4001472.06, -0.059995660781860354, 18, 18, 0, 0, 0.02, -0.02, 0.12766222655773163, 0.1242380365729332, 0.0034241899847984314, 8585, 16851105, 898, 540, 1, 100, 200, 1000
0.07, 4001490.0000043395, 4001490.02, -0.019995660781860353, 18, 17.96, 0.04, 0, 0.04, -0.04, 0.26671111583709717, 0.16055817902088165, 0.10615293681621552, 8585, 16851073, 900, 540, 1, 100, 200, 1000
0.07100000000000001, 4001508.0000043395, 4001507.98, 0.020004339218139648, 18, 17.96, 0.04, 0, 0, 0, 0.3093891143798828, 0.21562635898590088, 0.09376275539398193, 8585, 16851137, 1, 540, 1, 100, 200, 1000
0.07200000000000001, 4001526.0000043395, 4001525.96, 0.04000433921813965, 18, 17.98, 0.02, 0, -0.02, 0.02, 0.22741053998470306, 0.25126296281814575, -0.023852422833442688, 8585, 16851009, 3, 540, 1, 100, 200, 1000
0.073, 4001544.0000043395, 4001543.96, 0.04000433921813965, 18, 18, 0, 0, -0.02, 0.02, 0.22732944786548615, 0.1996786892414093, 0.027650758624076843, 8585, 16851041, 3, 540, 1, 100, 200, 1000
0.074, 4001562.0000043395, 4001562, 4.339218139648437E-06, 18, 18.04, -0.04, 0, -0.04, 0.04, 0.14389553666114807, 0.19373983144760132, -0.04984429478645325, 8585, 16850977, 1, 540, 1, 100, 200, 1000
0.075, 4001580.0000043395, 4001580.02, -0.019995660781860353, 18, 18.02, -0.02, 0, 0.02, -0.02, 0.142986461520195, 0.13048040866851807, 0.012506052851676941, 8585, 16851105, 899, 540, 1, 100, 200, 1000
0.076, 4001598.0000043395, 4001598.02, -0.019995660781860353, 18, 18, 0, 0, 0.02, -0.02, 0.08345183730125427, 0.1451324224472046, -0.06168058514595032, 8585, 16851073, 899, 540, 1, 100, 200, 1000
0.077, 4001616.0000043395, 4001616.02, -0.019995660781860353, 18, 18, 0, 0, 0, 0, 0.24256254732608795, 0.16191311180591583, 0.08064943552017212, 8585, 16851137, 899, 540, 1, 100, 200, 1000
0.078, 4001634.0000043395, 4001634, 4.339218139648437E-06, 18, 17.98, 0.02, 0, 0.02, -0.02, 0.2449108213186264, 0.20268061757087708, 0.04223020374774933, 8585, 16851009, 1, 540, 1, 100, 200, 1000
0.079, 4001652.0000043395, 4001651.98, 0.020004339218139648, 18, 17.98, 0.02, 0, 0, 0, 0.2924249768257141, 0.2736601233482361, 0.018764853477478027, 8585, 16850977, 2, 540, 1, 100, 200, 1000
0.08, 4001670.0000043395, 4001669.96, 0.04000433921813965, 18, 17.98, 0.02, 0, 0, 0, 0.22518260776996613, 0.23782560229301453, -0.012642994523048401, 8585, 16851105, 2, 540, 1, 100, 200, 1000
0.081, 4001688.0000043395, 4001687.98, 0.020004339218139648, 18, 18.02, -0.02, 0, -0.04, 0.04, 0.16597050428390503, 0.17938511073589325, -0.01341460645198822, 8585, 16851073, 1, 540, 1, 100, 200, 1000
0.082, 4001706.0000043395, 4001706.02, -0.019995660781860353, 18, 18.04, -0.04, 0, -0.02, 0.02, 0.13665889203548431, 0.15530459582805634, -0.01864570379257202, 8585, 16851137, 900, 540, 1, 100, 200, 1000
0.083, 4001724.0000043395, 4001724.04, -0.03999566078186035, 18, 18.02, -0.02, 0, 0.02, -0.02, 0.15835456550121307, 0.16343113780021667, -0.005076572299003601, 8585, 16851009, 899, 540, 1, 100, 200, 1000
0.084, 4001742.0000043395, 4001742.04, -0.03999566078186035, 18, 18, 0, 0, 0.02, -0.02, 0.15296386182308197, 0.11495313048362732, 0.03801073133945465, 8585, 16851041, 898, 540, 1, 100, 200, 1000
0.085, 4001760.0000043395, 4001760.02, -0.019995660781860353, 18, 17.98, 0.02, 0, 0.02, -0.02, 0.2561512291431427, 0.17118725180625916, 0.08496397733688354, 8585, 16850977, 900, 540, 1, 100, 200, 1000
0.08600000000000001, 4001778.0000043395, 4001777.98, 0.020004339218139648, 18, 17.96, 0.04, 0, 0.02, -0.02, 0.22058354318141937, 0.2670140862464905, -0.046430543065071106, 8585, 16851105, 2, 540, 1, 100, 200, 1000
0.08700000000000001, 4001796.0000043395, 4001795.96, 0.04000433921813965, 18, 17.98, 0.02, 0, -0.02, 0.02, 0.22513368725776672, 0.2850319445133209, -0.0598982572555542, 8585, 16851073, 2, 540, 1, 100, 200, 1000
0.088, 4001814.0000043395, 4001813.98, 0.020004339218139648, 18, 18.02, -0.02, 0, -0.04, 0.04, 0.18869084119796753, 0.18533366918563843, 0.0033571720123291016, 8585, 16851137, 1, 540, 1, 100, 200, 1000
0.089, 4001832.0000043395, 4001832.02, -0.019995660781860353, 18, 18.04, -0.04, 0, -0.02, 0.02, 0.07882025837898254, 0.15504463016986847, -0.07622437179088593, 8585, 16851009, 899, 540, 1, 100, 200, 1000
0.09, 4001850.0000043395, 4001850.06, -0.059995660781860354, 18, 18.04, -0.04, 0, 0, 0, 0.0575222410261631, 0.0760931670665741, -0.018570926040410995, 8585, 16851041, 897, 540, 1, 100, 200, 1000
0.091, 4001868.0000043395, 4001868.06, -0.059995660781860354, 18, 18, 0, 0, 0.04, -0.04, 0.12335165590047836, 0.11845472455024719, 0.004896931350231171, 8585, 16851105, 898, 540, 1, 100, 200, 1000
0.092, 4001886.0000043395, 4001886.02, -0.019995660781860353, 18, 17.96, 0.04, 0, 0.04, -0.04, 0.2563636600971222, 0.1596425473690033, 0.0967211127281189, 8585, 16851073, 900, 540, 1, 100, 200, 1000
0.093, 4001904.0000043395, 4001903.98, 0.020004339218139648, 18, 17.96, 0.04, 0, 0, 0, 0.3166917562484741, 0.2328028380870819, 0.08388891816139221, 8585, 16851137, 2, 540, 1, 100, 200, 1000
0.094, 4001922.0000043395, 4001921.96, 0.04000433921813965, 18, 17.98, 0.02, 0, -0.02, 0.02, 0.22320008277893066, 0.2724417746067047, -0.04924169182777405, 8585, 16851009, 3, 540, 1, 100, 200, 1000
0.095, 4001940.0000043395, 4001939.96, 0.04000433921813965, 18, 18, 0, 0, -0.02, 0.02, 0.13569754362106323, 0.22368061542510986, -0.08798307180404663, 8585, 16851041, 3, 540, 1, 100, 200, 1000
0.096, 4001958.0000043395, 4001958, 4.339218139648437E-06, 18, 18.04, -0.04, 0, -0.04, 0.04, 0.1605285406112671, 0.1736968755722046, -0.0131683349609375, 8585, 16850977, 1, 540, 1, 100, 200, 1000
0.097, 4001976.0000043395, 4001976.02, -0.019995660781860353, 18, 18.02, -0.02, 0, 0.02, -0.02, 0.15921977162361145, 0.11941806972026825, 0.0398017019033432, 8585, 16851105, 900, 540, 1, 100, 200, 1000
0.098, 4001994.0000043395, 4001994.02, -0.019995660781860353, 18, 18, 0, 0, 0.02, -0.02, 0.16594438254833221, 0.14475524425506592, 0.021189138293266296, 8585, 16851073, 899, 540, 1, 100, 200, 1000
0.099, 4002012.0000043395, 4002012.02, -0.019995660781860353, 18, 18, 0, 0, 0, 0, 0.16418133676052094, 0.16656547784805298, -0.0023841410875320435, 8585, 16851137, 900, 540, 1, 100, 200, 1000
0.1, 4002030.0000043395, 4002029.98, 0.020004339218139648, 18, 17.96, 0.04, 0, 0.04, -0.04, 0.28964340686798096, 0.23339730501174927, 0.05624610185623169, 8585, 16851009, 2, 540, 1, 100, 200, 1000
0.101, 4002048.0000043395, 4002047.96, 0.04000433921813965, 18, 17.98, 0.02, 0, -0.02, 0.02, 0.23788635432720184, 0.3146008849143982, -0.07671453058719635, 8585, 16851041, 3, 540, 1, 100, 200, 1000
0.10200000000000001, 4002066.0000043395, 4002065.96, 0.04000433921813965, 18, 18, 0, 0, -0.02, 0.02, 0.22966405749320984, 0.2377416491508484, -0.00807759165763855, 8585, 16850977, 3, 540, 1, 100, 200, 1000
0.10300000000000001, 4002084.0000043395, 4002083.98, 0.020004339218139648, 18, 18.02, -0.02, 0, -0.02, 0.02, 0.12206011265516281, 0.19946131110191345, -0.07740119844675064, 8585, 16851105, 2, 540, 1, 100, 200, 1000
0.10400000000000001, 4002102.0000043395, 4002102, 4.339218139648437E-06, 18, 18.02, -0.02, 0, 0, 0, 0.1630219668149948, 0.16207391023635864, 0.0009480565786361694, 8585, 16851137, 900, 540, 1, 100, 200, 1000
0.105, 4002120.0000043395, 4002120.02, -0.019995660781860353, 18, 18.02, -0.02, 0, 0, 0, 0.1733059287071228, 0.152960866689682, 0.020345062017440796, 8585, 16851009, 899, 540, 1, 100, 200, 1000
0.106, 4002138.0000043395, 4002138.04, -0.03999566078186035, 18, 18.02, -0.02, 0, 0, 0, 0.1564570665359497, 0.13160482048988342, 0.024852246046066284, 8585, 16851041, 899, 540, 1, 100, 200, 1000
0.107, 4002156.0000043395, 4002156, 4.339218139648437E-06, 18, 17.96, 0.04, 0, 0.06, -0.06, 0.29234039783477783, 0.17839491367340088, 0.11394548416137695, 8585, 16850977, 1, 540, 1, 100, 200, 1000
0.108, 4002174.0000043395, 4002173.98, 0.020004339218139648, 18, 17.98, 0.02, 0, -0.02, 0.02, 0.2032727748155594, 0.21889087557792664, -0.015618100762367249, 8585, 16851105, 2, 540, 1, 100, 200, 1000
0.109, 4002192.0000043395, 4002191.96, 0.04000433921813965, 18, 17.98, 0.02, 0, 0, 0, 0.23829473555088043, 0.25077223777770996, -0.012477502226829529, 8585, 16851073, 2, 540, 1, 100, 200, 1000
0.11, 4002210.0000043386, 4002209.98, 0.0200043386220932, 17.999999999403954, 18.02, -0.02000000059604645, -5.960464477539063E-10, -0.04000000059604645, 0.04, 0.1297033727169037, 0.19520510733127594, -0.06550173461437225, 8585, 16851137, 2, 540, 1, 100, 200, 1000
0.111, 4002228.0000043386, 4002228.02, -0.0199956613779068, 18, 18.04, -0.04, 5.960464477539063E-10, -0.019999999403953552, 0.02, 0.06252552568912506, 0.17587323486804962, -0.11334770917892456, 8585, 16851009, 899, 540, 1, 100, 200, 1000
0.112, 4002246.0000043386, 4002246.06, -0.0599956613779068, 18, 18.04, -0.04, 0, 0, 0, 0.03582696244120598, 0.0998416543006897, -0.06401469185948372, 8585, 16851041, 898, 540, 1, 100, 200, 1000
0.113, 4002264.0000043386, 4002264.06, -0.0599956613779068, 18, 18, 0, 0, 0.04, -0.04, 0.13207416236400604, 0.11755049973726273, 0.014523662626743317, 8585, 16850977, 898, 540, 1, 100, 200, 1000
0.114, 4002282.0000043386, 4002282.02, -0.0199956613779068, 18, 17.96, 0.04, 0, 0.04, -0.04, 0.26894763112068176, 0.1662660539150238, 0.10268157720565796, 8585, 16851105, 900, 540, 1, 100, 200, 1000
