Time (seconds), PosCmd (Theta) deg, PosFbk (Theta) deg, PosErr (Theta) deg, VelCmd (Theta) deg/msec, VelFbk (Theta) deg/msec, VelErr (Theta) deg/msec, AccCmd (Theta), AccErr (Theta), AccFbk (Theta), CurCmd (Theta), CurFbk (Theta), CurErr (Theta), AxisStatus (Theta), DriveStatus (Theta), PsoCounter0 (Theta), PsoStatus (Theta), WaveformActive (Theta), PsoWaveformActiveOnTime (Theta), PsoWaveformActivePulseCount (Theta), PsoWaveformActiveTotalTime (Theta)
0.053, 1516554.0000003541, 1516554.04, -0.03999964594841004, 18, 18, 0, 0, 0.02, -0.02, 0.11666566878557205, 0.09909103810787201, 0.017574630677700043, 8585, 16850977, 2398, 540, 1, 100, 20000, 1000
0.054, 1516572.0000003541, 1516572, 3.5405158996582034E-07, 18, 17.96, 0.04, 0, 0.04, -0.04, 0.2631711959838867, 0.16158433258533478, 0.10158686339855194, 8585, 16851105, 1501, 540, 1, 100, 20000, 1000
0.055, 1516590.0000003541, 1516589.96, 0.04000035405158996, 18, 17.96, 0.04, 0, 0, 0, 0.24920229613780975, 0.24599848687648773, 0.0032038092613220215, 8585, 16851073, 603, 540, 1, 100, 20000, 1000
0.056, 1516608.0000003541, 1516607.94, 0.06000035405158997, 18, 17.98, 0.02, 0, -0.02, 0.02, 0.21418359875679016, 0.1908435821533203, 0.02334001660346985, 8585, 16851137, 12353, 540, 1, 100, 20000, 1000
0.057, 1516626.0000003541, 1516625.98, 0.020000354051589966, 18, 18.04, -0.04, 0, -0.06, 0.06, 0.08494473993778229, 0.18644273281097412, -0.10149799287319183, 8585, 16851009, 11452, 540, 1, 100, 20000, 1000
0.058, 1516644.0000003541, 1516644.02, -0.019999645948410034, 18, 18.04, -0.04, 0, 0, 0, 0.026463637128472328, 0.1040421724319458, -0.07757853530347347, 8585, 16851041, 10550, 540, 1, 100, 20000, 1000
0.059000000000000004, 1516662.0000003541, 1516662.04, -0.03999964594841004, 18, 18.02, -0.02, 0, 0.02, -0.02, 0.1077393963932991, 0.10360287874937057, 0.004136517643928528, 8585, 16850977, 9648, 540, 1, 100, 20000, 1000
0.06, 1516680.0000003541, 1516680.04, -0.03999964594841004, 18, 18, 0, 0, 0.02, -0.02, 0.11963426321744919, 0.10811994969844818, 0.011514313519001007, 8585, 16851105, 8749, 540, 1, 100, 20000, 1000
0.061, 1516698.0000003541, 1516698.02, -0.019999645948410034, 18, 17.98, 0.02, 0, 0.02, -0.02, 0.18217997252941132, 0.1341932713985443, 0.047986701130867004, 8585, 16851073, 7850, 540, 1, 100, 20000, 1000
0.062, 1516716.0000003541, 1516715.98, 0.020000354051589966, 18, 17.96, 0.04, 0, 0.02, -0.02, 0.23155076801776886, 0.22023485600948334, 0.011315912008285522, 8585, 16851137, 6952, 540, 1, 100, 20000, 1000
0.063, 1516734.0000003541, 1516733.94, 0.06000035405158997, 18, 17.96, 0.04, 0, 0, 0, 0.29625198245048523, 0.2509920001029968, 0.0452599823474884, 8585, 16851009, 6053, 540, 1, 100, 20000, 1000
0.064, 1516752.0000003541, 1516751.94, 0.06000035405158997, 18, 18, 0, 0, -0.04, 0.04, 0.2207322120666504, 0.2453112006187439, -0.024578988552093506, 8585, 16850977, 5154, 540, 1, 100, 20000, 1000
0.065, 1516770.0000003541, 1516769.98, 0.020000354051589966, 18, 18.04, -0.04, 0, -0.04, 0.04, 0.07971961051225662, 0.17780457437038422, -0.0980849638581276, 8585, 16851105, 4251, 540, 1, 100, 20000, 1000
0.066, 1516788.0000003541, 1516788.02, -0.019999645948410034, 18, 18.04, -0.04, 0, 0, 0, 0.05017548054456711, 0.11959696561098099, -0.06942148506641388, 8585, 16851073, 3349, 540, 1, 100, 20000, 1000
0.067, 1516806.0000003541, 1516806.04, -0.03999964594841004, 18, 18.02, -0.02, 0, 0.02, -0.02, 0.10763955116271973, 0.08777475357055664, 0.019864797592163086, 8585, 16851137, 2448, 540, 1, 100, 20000, 1000
0.068, 1516824.0000003541, 1516824.04, -0.03999964594841004, 18, 18, 0, 0, 0.02, -0.02, 0.12416621297597885, 0.12782298028469086, -0.0036567673087120056, 8585, 16851009, 1549, 540, 1, 100, 20000, 1000
0.069, 1516842.0000003541, 1516842.02, -0.019999645948410034, 18, 17.98, 0.02, 0, 0.02, -0.02, 0.14684957265853882, 0.13611891865730286, 0.010730654001235962, 8585, 16851041, 650, 540, 1, 100, 20000, 1000
0.07, 1516860.0000003541, 1516859.98, 0.020000354051589966, 18, 17.96, 0.04, 0, 0.02, -0.02, 0.27844738960266113, 0.18970724940299988, 0.08874014019966125, 8585, 16850977, 13301, 540, 1, 100, 20000, 1000
0.07100000000000001, 1516878.0000003541, 1516877.96, 0.04000035405158996, 18, 17.98, 0.02, 0, -0.02, 0.02, 0.275788277387619, 0.22954018414020538, 0.046248093247413635, 8585, 16851105, 12402, 540, 1, 100, 20000, 1000
0.07200000000000001, 1516896.0000003541, 1516895.98, 0.020000354051589966, 18, 18.02, -0.02, 0, -0.04, 0.04, 0.1780303716659546, 0.15785923600196838, 0.020171135663986206, 8585, 16851073, 11501, 540, 1, 100, 20000, 1000
0.073, 1516914.0000003541, 1516914.02, -0.019999645948410034, 18, 18.04, -0.04, 0, -0.02, 0.02, 0.06673480570316315, 0.1541227102279663, -0.08738790452480316, 8585, 16851137, 10600, 540, 1, 100, 20000, 1000
